,TIME,TASK,GROUP,CH_R,CH_P,CH_Y,CH_H,CH_T,ARMING,AUX2,AUX3,float0,float1,float2,float3,float4,float5,float6,float7,long0,long1,long2,long3,long4,long5,long6,long7,pidRoll,pidPitch,pidYaw,pidThrust,pidHover,HOVER_MINIMAL_HEIGHT,HOVER_MIN_DISTANCE,HOVER_MAX_DISTANCE,CRC
36,1595177,RECV,WR,996,993,993,-1410,173,173,173,-1464,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,    1890
37,1595192,RECV,WR,996,993,993,192,173,173,173,-1464,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,    9B2F
38,1595203,HOVER,UPD,1500,1500,1500,0,1000,1000,1000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,100,400,500,    5F27
39,1595219,SDIST,UPD,0,0,0,39,0,0,0,0,17.36,13.02,450.00,428.30,52.12,39.09,450.00,384.85,428,13,0,0,380,39,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,    8E78
40,1595230,RECV,WR,996,993,993,-1410,173,173,173,-1464,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,    A34E
41,1595241,HOVER,UPD,1500,1500,1500,0,1000,1000,1000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,100,400,500,    3FCC
42,1595262,RECV,WR,996,993,993,192,173,173,173,-1464,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,    4F04
43,1595278,HOVER,UPD,1500,1500,1500,0,1000,1000,1000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,100,400,500,    F43E
44,1595299,HOVER,UPD,1500,1500,1500,0,1000,1000,1000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,100,400,500,    5096
45,1595310,RECV,WR,996,993,993,-1410,173,173,173,-1464,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,    D2D1
46,1595325,SDIST,UPD,0,0,0,39,0,0,0,0,17.36,13.02,450.00,428.29,52.49,39.36,450.00,384.39,428,13,0,0,380,39,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,    1320
47,1595336,HOVER,UPD,1500,1500,1500,0,1000,1000,1000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,100,400,500,    3196
48,1595326,RECV,WR,996,993,993,192,173,173,173,-1464,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,    9453
49,1595363,HOVER,UPD,1500,1500,1500,0,1000,1000,1000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,100,400,500,    17D3
50,1595384,HOVER,UPD,1500,1500,1500,0,1000,1000,1000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,100,400,500,     E8B
51,1595395,RECV,WR,996,993,993,-1410,173,173,173,-1464,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,    6CCD
52,1595410,RECV,WR,996,993,993,192,173,173,173,-1464,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,    527F
53,1595421,HOVER,UPD,1500,1500,1500,0,1000,1000,1000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,100,400,500,    3EF4
54,1595421,SDIST,UPD,0,0,0,39,0,0,0,0,17.40,13.05,450.00,428.25,52.07,39.05,450.00,384.92,426,13,0,0,390,39,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,    9860
55,1595448,HOVER,UPD,1500,1500,1500,0,1000,1000,1000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,100,400,500,    304B
56,1595459,RECV,WR,996,993,993,-1410,173,173,173,-1464,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,    4878
57,1595474,RECV,WR,996,993,993,192,173,173,173,-1464,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,    C3B9
58,1595485,HOVER,UPD,1500,1500,1500,0,1000,1000,1000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,100,400,500,    72EF
59,1595501,SDIST,UPD,0,0,0,39,0,0,0,0,17.37,13.03,450.00,428.29,52.44,39.33,450.00,384.45,430,13,0,0,380,39,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,    38E9
60,1595512,RECV,WR,996,993,993,-1410,173,173,173,-1464,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,    223B
61,1595523,HOVER,UPD,1500,1500,1500,0,1000,1000,1000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,100,400,500,    9B26
62,1595544,RECV,WR,996,993,993,192,173,173,173,-1464,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,    786F
63,1595560,HOVER,UPD,1500,1500,1500,0,1000,1000,1000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,100,400,500,    CE65
64,1595581,HOVER,UPD,1500,1500,1500,0,1000,1000,1000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,100,400,500,    6ACD
65,1595582,RECV,WR,996,993,993,-1410,173,173,173,-1464,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,    FC70
66,1595581,SDIST,UPD,0,0,0,39,0,0,0,0,17.38,13.03,450.00,428.28,52.77,39.58,450.00,384.04,428,13,0,0,380,39,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,    C260
67,1595613,RECV,WR,996,993,993,192,173,173,173,-1464,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,    D4BC
68,1595634,HOVER,UPD,1500,1500,1500,0,1000,1000,1000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,100,400,500,    9E2F
69,1595655,HOVER,UPD,1500,1500,1500,0,1000,1000,1000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,100,400,500,    2DF1
70,1595657,RECV,WR,996,993,993,-1410,173,173,173,-1464,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,    F9B8
71,1595681,RECV,WR,996,993,993,192,173,173,173,-1464,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,    942F
72,1595692,HOVER,UPD,1500,1500,1500,0,1000,1000,1000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,100,400,500,    B964
73,1595703,SDIST,UPD,0,0,0,39,0,0,0,0,17.35,13.01,450.00,428.31,53.07,39.80,450.00,383.66,430,13,0,0,380,39,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,    120B
74,1595719,HOVER,UPD,1500,1500,1500,0,1000,1000,1000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,100,400,500,    8309
75,1595730,RECV,WR,996,993,993,-1410,173,173,173,-1464,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,    F3B2
76,1595745,RECV,WR,996,993,993,192,173,173,173,-1464,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,    B5A7
77,1595756,HOVER,UPD,1500,1500,1500,0,1000,1000,1000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,100,400,500,    BD8B
78,1595772,SDIST,UPD,0,0,0,40,0,0,0,0,17.34,13.00,450.00,428.33,53.34,40.00,450.00,383.33,429,13,0,0,380,40,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,    FE69
79,1595783,RECV,WR,996,993,993,-1410,173,173,173,-1464,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,    C43C
80,1595794,HOVER,UPD,1500,1500,1500,0,1000,1000,1000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,100,400,500,    CA16
81,1595815,RECV,WR,996,993,993,192,173,173,173,-1464,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,    3813
82,1595831,HOVER,UPD,1500,1500,1500,0,1000,1000,1000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,100,400,500,    EEBF
83,1595852,HOVER,UPD,1500,1500,1500,0,1000,1000,1000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,100,400,500,    3631
84,1595863,RECV,WR,996,993,993,-1410,173,173,173,-1464,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,    A14A
85,1595878,SDIST,UPD,0,0,0,39,0,0,0,0,17.32,12.99,450.00,428.36,52.86,39.65,450.00,383.92,430,12,0,0,390,39,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,    2FFB
86,1595889,HOVER,UPD,1500,1500,1500,0,1000,1000,1000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,100,400,500,     793
87,1595879,RECV,WR,996,993,993,192,173,173,173,-1464,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,    95D8
88,1595916,HOVER,UPD,1500,1500,1500,0,1000,1000,1000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,100,400,500,    25A8
89,1595937,HOVER,UPD,1500,1500,1500,0,1000,1000,1000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,100,400,500,    9DCD
90,1595948,RECV,WR,996,993,993,-1410,173,173,173,-1464,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,    99E3
91,1595963,RECV,WR,996,993,993,192,173,173,173,-1464,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,    ABA7
92,1595974,HOVER,UPD,1500,1500,1500,0,1000,1000,1000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,100,400,500,    C88E
